app_name,score,review_text,label,clean_review,text_len
toss,1,업데이트안됨,2,업데이트안됨,6
kbbank,5,편리하게 이용하고 있어요~,0,편리하게 이용하고 있어요~,14
toss,1,모든 알림을 다 껐는데 예상 환급액 알림이 계속 표시됩니다.,2,모든 알림을 다 껐는데 예상 환급액 알림이 계속 표시됩니다.,33
kakaopay,3,"카카오페이 ISA 는 원하는 가격에 매도 매수 기능이 왜 없나요? 타 증권사들은 ISA 에도 당근 스탑로스 있죠 커뮤댓글 달리는 데 , 카카오페이 증권에는 있는데. 카카오페이 ISA 에는 왜 없죠? 고객센터도 카카오페이 증권만 된다고 확인. 빨리 만들어 주십쇼",2,"카카오페이 ISA 는 원하는 가격에 매도 매수 기능이 왜 없나요? 타 증권사들은 ISA 에도 당근 스탑로스 있죠 커뮤댓글 달리는 데 , 카카오페이 증권에는 있는데. 카카오페이 ISA 에는 왜 없죠? 고객센터도 카카오페이 증권만 된다고 확인. 빨리 만들어 주십쇼",145
kbbank,5,사용하기 간편하고 쉽게 알려줘서 좋아요🩷,0,사용하기 간편하고 쉽게 알려줘서 좋아요,21
kakaopay,1,개인정보는 팔아쳐먹고 주가관리안하냐,1,개인정보는 팔아쳐먹고 주가관리안하냐,19
kbbank,4,좋아요.,0,좋아요.,4
kbbank,4,진행에 따라 자세한 내용이 공지되어 이해하기 좋아요,0,진행에 따라 자세한 내용이 공지되어 이해하기 좋아요,28
toss,1,사람가지고노니까재밌냐?,2,사람가지고노니까재밌냐?,12
toss,5,해외주식 배당 빨리빨리좀 주셈 왜 점점 느려지는거예요???,1,해외주식 배당 빨리빨리좀 주셈 왜 점점 느려지는거예요??,31
kbbank,5,간편하고 사용하기가 너무 편하고 화면도 깔끔합니다.고객들에게 좀더 저렴한 금리로 대출 해주세요,0,간편하고 사용하기가 너무 편하고 화면도 깔끔합니다.고객들에게 좀더 저렴한 금리로 대출 해주세요,52
kakaopay,2,업데이트 되고 나서 실시간으로 얼마나 많은 양이 거래 되고 있는지 확인이 안되네요 시간 단위로 오늘 거래량 총 18만 115만 이런식으로만 표시해주니.. 되돌려 주세요,1,업데이트 되고 나서 실시간으로 얼마나 많은 양이 거래 되고 있는지 확인이 안되네요 시간 단위로 오늘 거래량 총 18만 115만 이런식으로만 표시해주니.. 되돌려 주세요,93
kakaopay,3,카카오페이 같은 서비스가 모바일 신분증 본인 인증 구현이 안돼있다는게 충격적이네요.. 정보 재확인 기간 지나서 새로 본인 정보 입력하는데 실물 신분증 없어서 송금하는데 애먹었네요..,2,카카오페이 같은 서비스가 모바일 신분증 본인 인증 구현이 안돼있다는게 충격적이네요.. 정보 재확인 기간 지나서 새로 본인 정보 입력하는데 실물 신분증 없어서 송금하는데 애먹었네요..,101
