app_name,score,review_text,label,clean_review,text_len
toss,4,위치 추적 좀 추가해주세요 만약 잃어버려서 찾기 힘들고 돈도 버리게되니까요,1,위치 추적 좀 추가해주세요 만약 잃어버려서 찾기 힘들고 돈도 버리게되니까요,41
kakaopay,3,"k 패스를 카페로 이용하고 있습니다만, 가끔 혼자 로그아웃하고 있어 찍지 않을 때가 많습니다.",1,"k 패스를 카페로 이용하고 있습니다만, 가끔 혼자 로그아웃하고 있어 찍지 않을 때가 많습니다.",52
kakaopay,3,카카오페이증권 쓰고 있는데 아쉬운점은 각 주식별로 보유비중을 알수 없다는거에요. 개선 좀 부탁 드려요. 토스나 다른 증권앱들은 다 되는데 토스 많이 벤치마킹 하는것 같던데 보유비중 표시 해주세요.,1,카카오페이증권 쓰고 있는데 아쉬운점은 각 주식별로 보유비중을 알수 없다는거에요. 개선 좀 부탁 드려요. 토스나 다른 증권앱들은 다 되는데 토스 많이 벤치마킹 하는것 같던데 보유비중 표시 해주세요.,109
toss,1,"카카오, 네이버에 이어 내수 척추를 빼앗는 최악의 장미 앱. 허구한 날 이벤트로 쿠폰 뿌리는 척하고 실상은 얼굴 등록비. 내 얼굴은 어디에 팔아 먹으려고 페이 스페이 그렇게 등록하려고 애그로 무시할까. 토스 인콤, 삼삼 앱 복사, 무슨 앱 기능 팩리 치고 어떻게든 정보 샹샨이 캐널링하려고 별의 발광을 모두 떠오르는? 역시 진짜 걍주 은행뱅킹 등 어디서나 최근 수수료는 무료입니다만, 걱정할 만큼 송금할 때마다 열려, 광고는 얼마나 많은지 차단해도 결국 앱내 자사의 광고로 매우 바빠요. 하는 것을 보고 경악을 금할 수 없었다 어플 포인트 절대 사용하지 않습니다.",2,"카카오, 네이버에 이어 내수 척추를 빼앗는 최악의 장미 앱. 허구한 날 이벤트로 쿠폰 뿌리는 척하고 실상은 얼굴 등록비. 내 얼굴은 어디에 팔아 먹으려고 페이 스페이 그렇게 등록하려고 애그로 무시할까. 토스 인콤, 삼삼 앱 복사, 무슨 앱 기능 팩리 치고 어떻게든 정보 샹샨이 캐널링하려고 별의 발광을 모두 떠오르는? 역시 진짜 걍주 은행뱅킹 등 어디서나 최근 수수료는 무료입니다만, 걱정할 만큼 송금할 때마다 열려, 광고는 얼마나 많은지 차단해도 결국 앱내 자사의 광고로 매우 바빠요. 하는 것을 보고 경악을 금할 수 없었다 어플 포인트 절대 사용하지 않습니다.",315
kbbank,5,아주 쉽게 잘 되어있네요,0,아주 쉽게 잘 되어있네요,13
kakaopay,2,호가창 체결강도를 왜 삭제함 빨리 다시 복구 ㄱㄱㄱ,1,호가창 체결강도를 왜 삭제함 빨리 다시 복구 ㄱㄱㄱ,28
kbbank,5,너무 좋아요ㅎ,0,너무 좋아요ㅎ,7
kbbank,5,장기 미사용으로 재 방문했는데 편리하게 사용할수있었음,0,장기 미사용으로 재 방문했는데 편리하게 사용할수있었음,29
kakaopay,1,광고 다 보고 광고창을 닫으니까 UI가 다 깨져서 화면을 알아볼 수가 없어요,2,광고 다 보고 광고창을 닫으니까 UI가 다 깨져서 화면을 알아볼 수가 없어요,42
toss,1,자동로그인 설정 된 이후 로그아웃 버튼을 찾을 수 없어 어쩔 수 없이 지웠다가 다시 설치합니다. 무슨 뱅킹 앱이 로그아웃 버튼도 없어 지웠다가 다시 깔게하나요? (내용추가: 다시 설치해도 본인 인증하면 자동으로 설정되네요? 확인 되지 않은 내용을 알려주시는건 뭐하자는건가요?),2,자동로그인 설정 된 이후 로그아웃 버튼을 찾을 수 없어 어쩔 수 없이 지웠다가 다시 설치합니다. 무슨 뱅킹 앱이 로그아웃 버튼도 없어 지웠다가 다시 깔게하나요? 내용추가 다시 설치해도 본인 인증하면 자동으로 설정되네요? 확인 되지 않은 내용을 알려주시는건 뭐하자는건가요?,151
kakaopay,3,"카카오페이>>매일모으기>>글로벌 멀티액션 게임 참여하실 분들만 참고해주세요. 리워드 회사 ㅂㅈㅂ에 미리 당하지 마시라고 알려드립니다. 게임 레벨달성 리워드 미션이 있는데 10, 20, 30, 40까지는 정상 지급됐는데 동일 조건으로 달성한 레벨 50은 기술적 오류라며 지급 거절됨.(광고차단 x, 오프라인 x, vpn x인데도 불구) 고객센터 문의했지만 구체적인 설명 없이 동일 답변만 반복됨. 이용하실 분들은 참고하시길 바랍니다.",2,"카카오페이 매일모으기 글로벌 멀티액션 게임 참여하실 분들만 참고해주세요. 리워드 회사 ㅂㅈㅂ에 미리 당하지 마시라고 알려드립니다. 게임 레벨달성 리워드 미션이 있는데 10, 20, 30, 40까지는 정상 지급됐는데 동일 조건으로 달성한 레벨 50은 기술적 오류라며 지급 거절됨. 광고차단 x, 오프라인 x, vpn x인데도 불구 고객센터 문의했지만 구체적인 설명 없이 동일 답변만 반복됨. 이용하실 분들은 참고하시길 바랍니다.",238
kbbank,1,데이커가 비틀렸는지 로그인 3회 에러로 패스워드 리셋해도 3회 미만과 변함없이 상담하면 지점에 가야 하는데 왜 이태그로 합니까?,2,데이커가 비틀렸는지 로그인 3회 에러로 패스워드 리셋해도 3회 미만과 변함없이 상담하면 지점에 가야 하는데 왜 이태그로 합니까?,71
kakaopay,5,아니 왜 로딩이 안됨?,2,아니 왜 로딩이 안됨?,12
kbbank,5,상품 가입이 간단하고 쉬워서 좋아요.,0,상품 가입이 간단하고 쉬워서 좋아요.,20
kbbank,5,매우 유용하게 잘 사용하고있습니다. 국민은행에 감사합니다.,0,매우 유용하게 잘 사용하고있습니다. 국민은행에 감사합니다.,32
kakaopay,5,안녕하세요. 제가 카카오페이 만보기밖에 안쓰는데 월별 걸음수가 필요해서 난감한 상황이에요ㅜㅜ 월별 평균은 사실 별로 필요가 없는데 월별 총걸음수로 업데이트 부탁드려요 제발ㅜㅜ 좋은 하루 되세요.,2,안녕하세요. 제가 카카오페이 만보기밖에 안쓰는데 월별 걸음수가 필요해서 난감한 상황이에요ㅜㅜ 월별 평균은 사실 별로 필요가 없는데 월별 총걸음수로 업데이트 부탁드려요 제발ㅜㅜ 좋은 하루 되세요.,108
kakaopay,1,아니 얘네들은 어떻게 일을 하면 고객정보를 카카오톡 민심나락가고 이제는 페이까지 이러네 다음은 T냐?,2,아니 얘네들은 어떻게 일을 하면 고객정보를 카카오톡 민심나락가고 이제는 페이까지 이러네 다음은 T냐?,56
